,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,temporalité,polarité_contexte,positionnement_contexte,
2119,"groups to Paris.""Brexit is bad news for Europe but it's a fantastic opportunity for Paris and ",its business district,","" said Marie-Célie Guillaume, chief executive of Defacto",type lieu ,économie,neutre,pris en charge,tourisme,présent,positif,cité,
2120,"""Brexit is bad news for Europe but it's a fantastic opportunity for Paris and its business district,"" said Marie-Célie Guillaume, chief executive of DefactoLa Défense, the body responsible for managing ",the finance hub in western Paris,.,type lieu/référence géographique,économie/localisation,neutre,pris en charge,tourisme,présent,positif,cité,
2121,"""France is ready to welcome business and finance.""		",La Défense,"is Europe's largest business district, home to 400 companies and 160,000 employees.",norme,NA,NA,NA,économie,présent,positif,pris en charge,
2122,"""France is ready to welcome business and finance.""		La Défense is ",Europe's largest business district,", home to 400 companies and 160,000 employees.",type lieu/référence géographique/classement,taille/localisation/économie,positif,pris en charge,économie,présent,positif,pris en charge,
2123,The lobbying effort highlights,La Défense,"s 3.5m sq metres of office space and strong transport links, as well as the wider cultural attraction of the French capital.",norme,NA,NA,NA,tourisme,présent,positif,cité,
2124,"had assembled a second terrorist cell that was ""ready to go"" with a fresh wave of suicide attacks on Paris Charles de Gaulle airport, which is usedby millions of Britons each year, and ",the La Defense financial district of the French capital,.		,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2125,The dawn raid on a flat in Saint-Denis eliminated a second cell that might have been hours away from attacking,La Defense," and Charles de Gaulle, the second busiest airport in Europe.		",norme,NA,NA,NA,NA,NA,NA,NA,
2126,"had assembled a second terrorist cell that was ""ready to go"" with a fresh wave of suicide attacks on Paris Charles de Gaulle airport, which is usedby millions of Britons each year, and ",the La Defense financial district of the French capital,.,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2127,The dawn raid eliminated a second cell that might have been hours away from attacking,La Defense," and Charles de Gaulle, the second busiest airport in Europe.		",norme,NA,NA,NA,NA,NA,NA,NA,
2128,"For more Venice hotels, see: telegraph.co.uk/venicehotels		 Meliá Paris",La Défense,", Paris, France		 ",norme,NA,NA,NA,NA,NA,NA,NA,
2130,"La Défense, Paris, France		 The new Meliá Paris is the first hotel to be built in ",La Défense district,in 15 years.,type lieu,urbanisme,neutre,pris en charge,tourisme,présent,neutre,pris en charge,
2131,French property firm could be a beneficiary if UK takesthe 'hard Brexit' path,La Défense,", one possible home for any banks forced to leave the City of London",norme,NA,NA,NA,économie,futur,positif,pris en charge,
2132,Its modernoffice buildings in,La Défense,", sometimes called",norme,NA,NA,NA,urbanisme,présent,positif,pris en charge,
2134,"if Brexit forces financial firms to relocate to the EU.""		A move could even save them money: Icade's annual rents at ",La Défense,"are about €480 per square metre, compared with about",norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
2135,"850 in the City of London, he said.		 Forty five per cent of the company's office space by market value is in ",La Défense,",",norme,NA,NA,NA,immobilier,présent,positif,pris en charge,
2136,		It is lunchtime in ,La Défense business district,"in Paris, and the Sephora store is full of shoppers browsing through its",type lieu ,économie,neutre,pris en charge,tourisme,présent,positif,pris en charge,
2138,"TimesSquare and Dubai Mall in the Middle East, Sephora in",La Défense,,norme,NA,NA,NA,tourisme,présent,positif,pris en charge,
2139,At,La Défense,", customers are returning to work with Sephora's distinctive",norme,NA,NA,NA,tourisme,présent,positif,pris en charge,
2140,"Extradited, he is awaiting trial in Belgium.		soldier in ",the Paris suburb of La Défense,", in an attack thought to be inspired by the murder of Lee",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,négatif,pris en charge,
2141,"French schoolchildren over a period of 11 days in Toulouse and Montauban.		May 23, 2013 A Christian convert to Islam, Alexandre Dhaussy stabs a soldier in ",the Paris suburb of La Défense,", in an attack thought to be inspired by the murder of Lee",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,négatif,pris en charge,
2142,"and arts and crafts.		With over 350 wooden chalets, the market at ",La Defense,(metro Grande Arche de la Defense),norme,NA,NA,NA,NA,NA,NA,NA,
2143,"and arts and crafts.		With over 350 wooden chalets, the market at La Defense (metro Grande Arche de ",la Defense,),norme,NA,NA,NA,NA,NA,NA,NA,
2144,"SIR - If you subscribe to the ""all publicity is good publicity"" school of thought, then the Paris",La Défense," campaign to poach London's bankers is a success (report, October 18).		",norme,NA,NA,NA,économie,présent,positif,attribué,
2145,"The answer is non.		First, London fog evaporated with the Clean Air Act of 1956, so it is no reason for British business executives to ""Choose ",Paris La Défense,""".		",référence géographique,localisation,neutre,pris en charge,économie,présent,négatif,pris en charge,
2146,as dismissive of Paris's merits as they were of the tortured advertising sloganfor,its La Defense business district," ("" Tired of the fog ?",type lieu ,économie,neutre,pris en charge,économie,présent,négatif,pris en charge,
2147,Try the Frogs!Choose,Paris La Defense,""").		",référence géographique,localisation,neutre,pris en charge,tourisme,présent,neutre,cité,
2148,"and arts and crafts.		With more than 350 wooden chalets, the market at ",La Defense,(metro Grande Arche de la Defense),norme,NA,NA,NA,NA,NA,NA,NA,
2149,"and arts and crafts.		With more than 350 wooden chalets, the market at La Defense (metro Grande Arche de ",la Defense,),norme,NA,NA,NA,NA,NA,NA,NA,
2151,"Saint-Gobain certainly does not feel like a company on the defensive.It moves into new, glossier headquarters in",La Défense business district,next year.,type lieu ,économie,neutre,pris en charge,immobilier,futur,neutre,pris en charge,
2153,its capital.The imposing Grande Arche at,La Défense,", the Grand Palais, the Pyramid at the Louvre and the Eiffel Tower in central Paris can all thank Saint-Gobain for their glass façades, floors and ceilings.		",norme,NA,NA,NA,NA,NA,NA,NA,
2154,planning a suicide attack on,the French capital's La Defense business district," on Nov 18 or 19, Mr Molins added.		",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2155,The pair have competed on a string of huge projects.The Frenchman beat Lord Foster in a tender for a skyscraper in,Paris's La Défense,to rival the Eiffel Tower in 2008.,référence géographique,localisation,neutre,pris en charge,urbanisme,présent,positif,pris en charge,
2156,reportedlybeen planning a fresh wave of attacks against,La Defense,", the financial district of Paris, and Charles de Gaulle airport, Europe's second busiest.		",norme,NA,NA,NA,événement,passé,négatif,pris en charge,
2157,"reportedlybeen planning a fresh wave of attacks against La Defense,",the financial district of Paris,", and Charles de Gaulle airport, Europe's second busiest.		",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2158,"Today, in the new-age technology hubs serving the financial centres of London, Paris and Amsterdam, those concerns are gaining ground.  In the twin towers of Société Générale, sprouting out of",the purpose-built Parisian business district of La Défense,", private-banking boss Jean-Francois Mazaud describes his",type lieu/référence géographique,architecture/économie,neutre,pris en charge,NA,NA,NA,NA,
2160,"Who Houlihan Lawrence,                houlihanlawrence.com ,                tel:+1 845 677 6161                France                16th Arrondissement, Paris, €1.45m (£1.02m)                Where Overlooking the Bois de Boulogne in the 16th Arrondissement, a 15-minute drive from ",La Défense business district, and 35 minutes from Charles de Gaulle international airport.		,type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2161,reportedlybeen planning a fresh wave of attacks against,La Defense,", the financial district of Paris,  and Charles de Gaulle airport, Europe's second-busiest.",norme,NA,NA,NA,événement,passé,négatif,pris en charge,
2162,"reportedlybeen planning a fresh wave of attacks against La Defense,","the financial district of Paris,","and Charles de Gaulle airport, Europe's second-busiest.",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2163,"lOOk OUt FOR:An imposing ofce building in black futed glass in the heart of the City of London, and in Paris a mixed-use block in",La Défense,", where each storey is rotated delicately through two degrees to give oblique balconies and loggias, allowing perfect views along the Grande Axe, right back to the Arc de Triomphe.",norme,NA,NA,NA,urbanisme,présent,positif,pris en charge,
2164,Try the Frogs!Choose,Paris La Defense,""" are being put up at Heathrow and the London Eurostar station, at St Pancras International, showcasing the French capital's business district.		",référence géographique,localisation,neutre,pris en charge,tourisme,présent,neutre,cité,
2165,"Choose ParisLa Defense"" are being put up at Heathrow and the London Eurostar station, at St Pancras International, showcasing ",the French capital's business district,.		,type lieu/référence géographique,localisation/économie,neutre,pris en charge,tourisme,présent,neutre,pris en charge,
2166,"Regulation France ranks 29th in the World Bank's ease of doing business rankings, behind the UK and Germany                Infrastructure Paris is home to France's largest banks and the European Securities and Markets Authority.Planning regulations limit the height of most buildings in the city centre to below 31 metres, forcing high-rise developments out to ",La Défense,", the financial district 10km from",norme,NA,NA,NA,immobilier,présent,positif,pris en charge,
2167,"Regulation France ranks 29th in the World Bank's ease of doing business rankings, behind the UK and Germany                Infrastructure Paris is home to France's largest banks and the European Securities and Markets Authority.Planning regulations limit the height of most buildings in the city centre to below 31 metres, forcing high-rise developments out to La Défense, ",the financial district 10km from the city centre,		Residential property,type lieu/référence géographique,localisation/économie,neutre,pris en charge,immobilier,présent,positif,pris en charge,
2168,"for the French capital to attract international banks and other financial institutions but there is a dearth of high-quality, centrally located office space.If the big banks do decide to move to Paris, they may have to get used to the idea of being in",La Défense, or other areas outside the capital's city limits.		,norme,NA,NA,NA,immobilier,présent,neutre,pris en charge,
2169,Why shouldany of this matter when the city has,La Défense,?,norme,NA,NA,NA,immobilier,présent,positif,pris en charge,
2170,any of this matter when the city has La Défense?,"The area, beyond the capital's western border",,type lieu/référence géographique,localisation/taille,neutre,pris en charge,immobilier,présent,positif,pris en charge,
2171,"westernborder, has for years acted as",Paris's safety valve for office space,and,référence géographique/métaphore,localisation/urbanisme,positif,pris en charge,immobilier,présent,positif,pris en charge,
2172,for office space andit is now,Europe's largest business district,.		,référence géographique/type lieu/classement,taille/localisation/économie,positif,pris en charge,NA,NA,NA,NA,
2173,Its head office is in,La Defense," in Paris, where it has been since 1995.		",norme,NA,NA,NA,NA,NA,NA,NA,
2174,"		On a rainy June morning in Paris, five dozen men and women gathered in a basement in ",La Défense,", the city's financial district.",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
2175,"		On a rainy June morning in Paris, five dozen men and women gathered in a basement in La Défense, ",the city's financial district,.,type lieu/référence géographique,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
2176,he says inhis office in,La Défense,", the Paris business district.		",norme,NA,NA,NA,NA,NA,NA,NA,
2177,"he says inhis office in La Défense,",the Paris business district,.		,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2178,"New areas such as Zuidas, a financialdistrict comparable with London's Canary Wharf or",La Défense in Paris,",",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
2179,"violent Islamist links, stabbed soldier CédricCordier in",La Défense in Paris,.		,référence géographique,localisation,neutre,pris en charge,événement,présent,négatif,pris en charge,
2180,Nanterre,La Défense,", was the first speaker, with Prof Robert Tombs, a Fellow of St John's College, in the chair for the following discussion, followed by Dr Gilbert Lewis, a Fellow of St John's College, with Dr Joseph McDermott, a Fellow, Prof Maurice Bloch, Professor Emeritus, London School of Economics, with Prof Ulinka Rublack, a Fellow of St John's, and Prof Alan Macfarlane, a Fellow of King's College, Cambridge, with Prof Rublack.",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
2182,"The Abu Dhabi Investment Authority, the world'ssecond-largest sovereign wealth fund, acquired the planned Tour Alto office development in",Paris's La Défense business district," in February, a sign of continued activity in the market.		",type lieu/référence géographique,localisation/économie,neutre,pris en charge,immobilier,présent,positif,pris en charge,
2183,"for 2,000 people in",the central business district of a European city,", they would currently find eight options in Paris, all in La Défense in the west central area of the city, according to Savills research.		",,,,,immobilier,présent,positif,pris en charge,
2184,"for 2,000 people inthe central business district of a European city, they would currently find eight options in Paris, all in",La Défense," in the west central area of the city, according to Savills research.		",norme,NA,NA,NA,immobilier,présent,positif,pris en charge,
2185,"They said this came ""inthe context of the Brexit vote"".		",Paris's La Défense business district,"this month unveiled an advertising campaign aimed at capitalising on the uncertainty created by the Brexit vote, with the slogan:",type lieu/référence géographique,localisation/économie,neutre,pris en charge,tourisme,présent,neutre,pris en charge,
2186,"us to believe that, considering their armaments, the structured organisation and their determination, they were ready to act"".                The jihadis were set to carry out a second attack after Friday's massacre, this time targeting Charles de Gaulle airport and ",the city's financial district La Defense,", according to reports.		",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2187,"""We were able to increase the number of school places in Paris by 1,000 to close to 11,500,"" said Charline Avenel, who administers four major school districts around Paris, including Versailles.                ""The planning began two years ago, after the referendum,"" said Ms Avenel, pointing to a new school with an international section opening at Courbevoie near ",the business district of La Défense, that has guaranteed school places to the European Banking Authority's staff as it moves from London to Paris.		,type lieu ,économie,neutre,pris en charge,événement,passé,négatif,pris en charge,
2189,"At worst, he's a bit of a bully.He tried for years, from 1989 until his office went bankrupt in 1994, to build a tower in",La Défense,(Paris's then-new business district),norme,NA,NA,NA,urbanisme,passé,négatif,pris en charge,
2190,"At worst, he's a bit of a bully.He tried for years, from 1989 until his office went bankrupt in 1994, to build a tower in La Défense (",Paris's then-new business district,),référence géographique/type lieu,économie/changement/localisation,neutre,pris en charge,urbanisme,passé,négatif,pris en charge,
2191,		Sephora's ,La Défense,branch in Paris,norme,NA,NA,NA,NA,NA,NA,NA,
2193,"The basilica of Sacré-Coeur at Montmartre, the Pompidou Centre and",La Défense business district,"can all be seen from the top of the landmark, which is open until",type lieu ,économie,neutre,pris en charge,NA,NA,NA,NA,
2194,"Last weekSephora reopened its second-largest store in France, in",the Paris business district of La Défense,", after a major renovation.",type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,
2197,"-Man, climbs French Energy group Engie's building in",the La Defense business district,near Paris.,type lieu ,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
2200,"the new Pariswas pompous and grandiose, but you can't deny that the boulevards continue to be appreciated by rather more people than flock to",La Defense,", the awful bit of Paris",norme,NA,NA,NA,urbanisme,passé,négatif,pris en charge,
2201,"the new Pariswas pompous and grandiose, but you can't deny that the boulevards continue to be appreciated by rather more people than flock to La Defense,",the awful bit of Paris built between the 1960s and 1980s when the architects were in charge,,type lieu/référence géographique,urbanisme/architecture,négatif,pris en charge,urbanisme,passé,négatif,pris en charge,
2202,will build sevenskyscrapers in,its business district,as part of an aggressive campaign to lure financial,type lieu ,économie,neutre,pris en charge,urbanisme,futur,négatif,pris en charge,
2203,"La Défense, the body responsible for managing",the financial hub in western Paris,", said yesterday that it wanted to send a ""powerful message",type lieu/référence géographique,localisation/économie,neutre,pris en charge,administration,futur,neutre,pris en charge,
2205,at the FT conference near Tower Bridge.Then back to Paris to see Paul McCartney's gig in,La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,
2206,of this fascinationon the skyline came during a wave of construction in,the La Défense business district,"in the late 1980s, notably Kisho Kurokawa's Pacific Tower with its Zen-ish",type lieu ,économie,neutre,pris en charge,urbanisme,passé,positif,pris en charge,
2208,up the quaint trappings of historic Parisfor the gleaming practicality of its towers in,La Défense,", the French capital's modern business district.		",norme,NA,NA,NA,quotidien,présent,positif,pris en charge,
2209,"up the quaint trappings of historic Parisfor the gleaming practicality of its towers in La Défense,",the French capital's modern business district,.		,référence géographique/type lieu,changement/économie/localisation,positif,pris en charge,quotidien,présent,positif,pris en charge,
2210,"up Workers climbEDF tower, the offices of the French stateowned electricity company in",La Défense,", the business district west of Paris.",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
2211,"up Workers climbEDF tower, the offices of the French stateowned electricity company in La Défense,",the business district west of Paris,.,type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
